ID,Title,Year,Description,Rating
44,Slap Shot,1977,A minor league hockey team turns to violent tactics,7.3
45,Cool Runnings,1993,The story of Jamaica's first Olympic bobsled team,7.0
46,The Mighty Ducks,1992,A lawyer coaches a youth hockey team to redemption,6.6
47,The Wrestler,2008,A washed-up wrestler struggles with life after fame,7.9
48,Southpaw,2015,A boxer fights to reclaim his life and daughter,7.4
49,Foxcatcher,2014,The dark story of an Olympic wrestling team and its patron,7.0
50,Concussion,2015,A doctor uncovers the dangers of football head injuries,7.1
51,Breaking Away,1979,A young cyclist competes against college athletes,7.7
52,The Love Bug,1968,A race car with a mind of its own shakes up the competition,6.5
53,Heaven Can Wait,1978,A football player is given a second chance at life,6.9
54,Win Win,2011,A struggling lawyer takes in a talented young wrestler,7.1
55,Tooth Fairy,2010,A hockey player is sentenced to serve as a real-life tooth fairy,5.0
56,Gridiron Gang,2006,A detention center coach turns troubled teens into football players,6.9
57,Blue Crush,2002,A young woman chases her dream of surfing professionally,5.7
58,Days of Thunder,1990,A NASCAR driver battles on and off the track,6.1
59,Invictus,2009,The story of South Africa's 1995 Rugby World Cup win,7.3
60,King Richard,2021,The story of Serena and Venus Williams' father,7.5
61,Rush,2013,The rivalry between Formula 1 drivers Niki Lauda and James Hunt,8.1
62,Eddie the Eagle,2016,The story of an underdog Olympic ski jumper,7.3
63,Over the Top,1987,A truck driver enters an arm-wrestling championship,5.9
64,Cinderella Man,2005,The story of boxer James J. Braddock's comeback,8.0
65,The Cutting Edge,1992,A figure skater and a hockey player team up,6.9
66,Rocky II,1979,Rocky gets a rematch against Apollo Creed,7.3
67,Rocky III,1982,Rocky faces Clubber Lang after losing his title,6.8
68,Rocky IV,1985,Rocky fights the Soviet champion Ivan Drago,6.9
69,Rocky V,1990,Rocky trains a young boxer while facing his own struggles,5.3
70,Rocky Balboa,2006,Rocky returns to the ring for one last fight,7.1
71,Creed II,2018,Adonis Creed fights the son of Ivan Drago, 7.1
72,Creed III,2023,Adonis Creed faces his toughest personal challenge, 6.7
73,Varsity Blues,1999,A high school quarterback struggles with pressure, 6.5
74,The Big Green,1995,A misfit soccer team learns to win, 5.6
75,Facing the Giants,2006,A high school football team overcomes adversity, 6.6
76,Radio,2003,A football coach mentors a man with disabilities, 6.9
77,Secretariat,2010,The true story of a legendary racehorse, 7.2
78,For Love of the Game,1999,A pitcher reflects on his life during a perfect game, 6.6
79,The Program,1993,An inside look at college football culture, 6.5
80,Dreamer,2005,A girl rehabilitates an injured racehorse, 6.8
81,We Are Your Friends,2015,A DJ film with a sports undercurrent, 6.1
82,Rebound,2005,A basketball coach finds redemption, 5.2
83,Pride,2007,A swim coach helps underprivileged kids succeed, 6.7
84,Forever Strong,2008,A troubled rugby player finds discipline and teamwork, 7.1
85,Whip It,2009,A young woman discovers roller derby, 6.9
86,Lords of Dogtown,2005,The rise of skateboarding legends, 7.1
87,Trouble with the Curve,2012,A baseball scout reconnects with his daughter, 6.8
88,American Underdog,2021,The story of NFL quarterback Kurt Warner, 7.1
89,The Babe,1992,The life of baseball legend Babe Ruth, 5.9
90,Hardball,2001,A gambler coaches an inner-city youth baseball team, 6.4
91,Soul Surfer,2011,The true story of surfer Bethany Hamilton's comeback, 7.0
92,Run Fatboy Run,2007,A man trains for a marathon to win back his love, 6.6
93,The Hammer,2007,The inspiring story of a deaf wrestler, 7.0
94,Without Limits,1998,The story of runner Steve Prefontaine, 7.2
95,McFarland, USA,2015,A coach transforms farmworkers into champions, 7.4
96,Glory Road,2006,The true story of a groundbreaking college basketball team, 7.2
97,Touching the Void,2003,A gripping documentary about survival in mountaineering, 8.0
98,The Perfect Game,2009,A youth baseball team from Mexico makes history, 6.9
99,The Gabby Douglas Story,2014,The story of Olympic gymnast Gabby Douglas, 6.8
100,Queen of Katwe,2016,A Ugandan girl's rise in competitive chess, 7.4
